customer_id,tenure_months,recency_days,historical_spend,purchase_frequency,digital_engagement,email_engagement,prior_campaign_response,category_affinity,performance_affinity,lifestyle_affinity,days_since_visit,followup_eligible,primary_channel,loyalty_tier,customer_type,region,state,market_type,segment
AT-100000,16,214,242.01,7,0.764,0.655,0.033,0.443,0.686,0.227,36,False,Organic,Member,Returning,Northeast,NJ,Suburban,Performance Affinity
AT-100001,15,111,220.15,9,0.801,0.648,0.262,0.485,0.195,0.549,13,True,Direct,Explorer,New,Southwest,NM,Suburban,New Customer
AT-100002,12,110,241.13,17,0.57,0.621,0.547,0.315,0.117,0.436,27,False,Direct,Explorer,Returning,Northeast,PA,Suburban,Returning Buyer
AT-100003,77,20,252.84,13,0.344,0.177,0.76,0.569,0.432,0.502,57,False,Organic,Founders,Returning,Midwest,MN,Rural,Returning Buyer
AT-100004,51,20,67.82,12,0.284,0.047,0.141,0.827,0.126,0.535,69,False,Retail Partner,Member,New,Pacific Northwest,ID,Rural,New Customer
AT-100005,21,117,104.25,6,0.586,0.592,0.185,0.782,0.249,0.394,46,False,Paid Social,Member,Returning,Southeast,GA,Urban,Returning Buyer
AT-100006,12,180,88.21,2,0.536,0.193,0.292,0.098,0.558,0.076,20,False,Organic,Member,Returning,Northeast,MA,Suburban,At-Risk
AT-100007,8,201,393.47,16,0.762,0.655,0.599,0.319,0.137,0.687,26,False,Paid Social,Explorer,Returning,Northeast,NJ,Urban,High-Value
AT-100008,25,98,577.02,9,0.318,0.587,0.408,0.663,0.474,0.631,43,False,Organic,Explorer,Returning,California,CA,Urban,High-Value
AT-100009,72,137,39.71,1,0.916,0.25,0.177,0.759,0.111,0.363,41,False,Paid Social,Member,Returning,Southwest,NM,Rural,At-Risk
AT-100010,85,195,542.06,8,0.653,0.712,0.106,0.547,0.204,0.494,83,True,Paid Social,Member,Returning,Mountain West,CO,Suburban,High-Value
AT-100011,58,77,192.62,1,0.384,0.287,0.1,0.512,0.413,0.411,49,False,Paid Social,Insider,Returning,Southeast,FL,Rural,Returning Buyer
AT-100012,95,38,368.3,17,0.838,0.073,0.146,0.201,0.409,0.783,71,False,Paid Social,Member,Returning,Midwest,MN,Urban,High-Value
AT-100013,38,221,258.4,9,0.77,0.376,0.055,0.801,0.339,0.221,18,False,Retail Partner,Member,Returning,Northeast,PA,Suburban,Returning Buyer
AT-100014,32,131,496.84,14,0.761,0.324,0.351,0.721,0.259,0.292,21,False,Organic,Insider,New,Southwest,AZ,Suburban,New Customer
AT-100015,66,38,209.94,8,0.257,0.664,0.446,0.965,0.681,0.456,66,False,Direct,Explorer,Returning,California,CA,Urban,Performance Affinity
AT-100016,13,61,69.8,0,0.519,0.471,0.358,0.558,0.383,0.637,36,False,Direct,Member,New,Midwest,MN,Urban,New Customer
AT-100017,87,79,168.35,11,0.994,0.037,0.652,0.499,0.363,0.336,54,False,Paid Social,Insider,New,Pacific Northwest,ID,Suburban,New Customer
AT-100018,75,49,260.07,11,0.423,0.25,0.534,0.387,0.296,0.43,34,False,Paid Social,Explorer,Returning,Northeast,NY,Urban,Returning Buyer
AT-100019,4,105,155.84,4,0.244,0.84,0.732,0.384,0.711,0.55,5,False,Paid Social,Explorer,Returning,Midwest,MI,Rural,Performance Affinity
AT-100020,18,195,287.27,12,0.721,0.244,0.107,0.854,0.316,0.462,32,False,Paid Social,Explorer,New,Northeast,NY,Urban,New Customer
AT-100021,60,177,173.12,4,0.496,0.377,0.455,0.533,0.236,0.808,45,False,Direct,Explorer,Returning,Mountain West,UT,Urban,Lifestyle Affinity
AT-100022,71,220,119.48,12,0.351,0.097,0.45,0.378,0.604,0.902,52,False,Paid Social,Member,Returning,Southeast,NC,Suburban,At-Risk
AT-100023,21,200,84.76,13,0.404,0.08,0.556,0.704,0.074,0.638,24,False,Paid Social,Explorer,Returning,Southeast,TN,Urban,At-Risk
AT-100024,71,75,137.79,2,0.298,0.503,0.556,0.644,0.353,0.232,40,False,Organic,Member,Returning,Northeast,MA,Rural,Returning Buyer
AT-100025,46,14,209.18,5,0.406,0.258,0.271,0.556,0.914,0.62,79,False,Organic,Explorer,Returning,California,CA,Suburban,Performance Affinity
AT-100026,65,37,45.99,2,0.256,0.369,0.111,0.541,0.379,0.623,45,False,Direct,Explorer,Returning,Southwest,AZ,Urban,Returning Buyer
AT-100027,41,190,105.0,13,0.708,0.372,0.252,0.286,0.751,0.354,40,False,Organic,Explorer,Returning,Pacific Northwest,ID,Suburban,Performance Affinity
AT-100028,44,82,44.8,4,0.551,0.219,0.145,0.231,0.409,0.291,28,False,Paid Social,Explorer,Returning,California,CA,Suburban,Returning Buyer
AT-100029,38,173,117.69,11,0.189,0.466,0.298,0.264,0.569,0.067,12,False,Retail Partner,Founders,Returning,Midwest,MI,Suburban,Returning Buyer
AT-100030,15,110,419.1,7,0.821,0.766,0.413,0.279,0.338,0.777,86,False,Paid Social,Explorer,Returning,Northeast,PA,Rural,High-Value
AT-100031,19,214,79.02,1,0.472,0.398,0.085,0.426,0.558,0.322,59,True,Organic,Explorer,Returning,Southeast,GA,Suburban,Returning Buyer
AT-100032,16,122,296.55,15,0.214,0.338,0.505,0.889,0.554,0.772,13,False,Paid Social,Explorer,Returning,Mountain West,UT,Suburban,At-Risk
AT-100033,77,216,1331.65,12,0.837,0.09,0.256,0.637,0.151,0.832,23,False,Paid Social,Member,Returning,Mountain West,UT,Urban,High-Value
AT-100034,41,60,501.44,4,0.709,0.674,0.223,0.551,0.433,0.432,79,False,Organic,Member,Returning,Southwest,NM,Suburban,High-Value
AT-100035,37,186,199.03,15,0.336,0.045,0.425,0.714,0.281,0.151,86,False,Retail Partner,Insider,New,California,CA,Rural,New Customer
AT-100036,82,126,330.6,12,0.226,0.168,0.178,0.356,0.347,0.265,48,False,Direct,Member,Returning,California,CA,Suburban,At-Risk
AT-100037,85,46,69.49,14,0.458,0.558,0.286,0.339,0.124,0.417,3,False,Direct,Member,Returning,Southwest,AZ,Suburban,Returning Buyer
AT-100038,23,56,60.26,3,0.728,0.676,0.243,0.413,0.453,0.777,74,False,Direct,Member,Returning,California,CA,Suburban,Lifestyle Affinity
AT-100039,34,76,184.95,0,0.646,0.468,0.32,0.409,0.581,0.291,11,False,Direct,Insider,Returning,Midwest,MN,Suburban,Returning Buyer
AT-100040,40,38,239.61,1,0.321,0.592,0.285,0.339,0.603,0.211,56,False,Retail Partner,Member,Returning,Southwest,NV,Rural,Returning Buyer
AT-100041,80,224,389.98,9,0.24,0.241,0.584,0.828,0.504,0.808,89,False,Organic,Explorer,New,Northeast,NY,Urban,New Customer
AT-100042,64,51,121.74,14,0.563,0.119,0.204,0.637,0.502,0.366,2,False,Direct,Insider,Returning,Northeast,NJ,Urban,Returning Buyer
