decision_id,run_id,run_month,run_date,customer_id,model_version,p_new_season,p_performance,p_suppression,recommended_campaign,predicted_conversion,estimated_uplift,estimated_net_value,priority_score,recommend_followup,tenure_months,recency_days,historical_spend,purchase_frequency,digital_engagement,email_engagement,prior_campaign_response,category_affinity,performance_affinity,lifestyle_affinity,days_since_visit,followup_eligible,primary_channel,loyalty_tier,customer_type,region,state,market_type,segment,actual_campaign,execution_class,followup_completed,converted,gross_revenue,campaign_cost,incremental_conversion_prob,net_incremental_revenue,missed_value,wasted_spend
RUN-202408-AT-101690,RUN-202408,2024-08,2024-08-01,AT-101690,v1.0,0.049755295179922575,0.06212487251699843,0.009713443072457608,Performance Collection,0.06212487251699843,0.052411429444540816,2.1367131851157755,0.8761270948121153,False,4,66,73.84,17,0.13,0.334,0.049,0.78,0.297,0.459,7,False,Direct,Insider,Returning,Northeast,NY,Urban,Returning Buyer,Suppression,Ignored,False,0,0.0,0.0,0.0,0.0,2.1367131851157755,0.0
RUN-202408-AT-100346,RUN-202408,2024-08,2024-08-01,AT-100346,v1.0,0.15405511418174173,0.07175486694294812,0.01971209433221308,New Season Edit,0.15405511418174173,0.13434301984952865,6.142202160717187,0.99,False,34,23,257.89,8,0.304,0.467,0.252,0.905,0.565,0.782,40,False,Retail Partner,Member,Returning,Southeast,TN,Urban,Lifestyle Affinity,New Season Edit,Adopted,False,0,0.0,0.36,0.1082,4.88,0.0,0.23399999999999999
RUN-202408-AT-100376,RUN-202408,2024-08,2024-08-01,AT-100376,v1.0,0.1115961751242308,0.25714343988198995,0.0451184272831476,Performance Collection,0.25714343988198995,0.21202501259884235,9.86201060978397,0.99,False,70,3,161.66,12,0.649,0.79,0.597,0.833,0.491,0.548,28,False,Direct,Insider,Returning,Southeast,GA,Suburban,Returning Buyer,Suppression,Ignored,False,0,0.0,0.0,0.0,0.0,9.86201060978397,0.0
RUN-202408-AT-100416,RUN-202408,2024-08,2024-08-01,AT-100416,v1.0,0.05317559456619724,0.06892803985593221,0.13269388272540983,Suppression,0.13269388272540983,0.0,0.0,0.22346122345491803,False,62,184,721.38,15,0.891,0.473,0.593,0.645,0.329,0.746,55,False,Organic,Explorer,Returning,California,CA,Urban,High-Value,Suppression,Suppression adopted,False,0,0.0,0.0,0.0,0.0,0.0,0.0
RUN-202408-AT-100542,RUN-202408,2024-08,2024-08-01,AT-100542,v1.0,0.08212930192567178,0.1073501159595349,0.015192856848469112,Performance Collection,0.1073501159595349,0.09215725911106579,4.060411340975585,0.99,False,53,1,167.43,1,0.483,0.53,0.045,0.627,0.486,0.29,85,False,Retail Partner,Insider,Returning,Northeast,NY,Rural,Returning Buyer,Re-Engagement,Modified,False,0,0.0,0.34,0.0623,2.68,1.3804113409755847,0.22100000000000003
RUN-202408-AT-100419,RUN-202408,2024-08,2024-08-01,AT-100419,v1.0,0.024703578516886152,0.08218922322341382,0.020471691759128406,Performance Collection,0.08218922322341382,0.061717531464285415,2.5871285228714136,0.973096677857854,False,9,98,236.69,17,0.667,0.345,0.653,0.422,0.41,0.317,7,False,Direct,Insider,Returning,Southeast,NC,Rural,Returning Buyer,Performance Collection,Adopted,False,0,0.0,0.4,0.0986,4.37,0.0,0.26
RUN-202408-AT-100710,RUN-202408,2024-08,2024-08-01,AT-100710,v1.0,0.034279517792605164,0.10925671614030687,0.056854203160757746,Performance Collection,0.10925671614030687,0.05240251297954912,2.1362816282101775,0.8760341852469018,False,29,48,187.78,17,0.762,0.461,0.412,0.642,0.874,0.545,58,False,Direct,Founders,New,Southeast,TN,Urban,New Customer,Performance Collection,Adopted,False,0,0.0,0.4,0.0996,4.42,0.0,0.26
RUN-202408-AT-100617,RUN-202408,2024-08,2024-08-01,AT-100617,v1.0,0.06274696713481076,0.10774405145156243,0.15759941797227037,Suppression,0.15759941797227037,0.0,0.0,0.21848011640554593,False,86,41,72.17,2,0.711,0.351,0.417,0.288,0.478,0.235,42,False,Retail Partner,Member,New,Mountain West,CO,Urban,New Customer,Re-Engagement,Suppression rejected,False,0,0.0,0.34,0.0,-0.34,0.0,0.22100000000000003
RUN-202408-AT-100052,RUN-202408,2024-08,2024-08-01,AT-100052,v1.0,0.06527331374372068,0.09039771086209211,0.0529399934361095,Performance Collection,0.09039771086209211,0.03745771742598261,1.4129535234175588,0.7203094155787388,False,91,45,372.22,9,0.668,0.474,0.15,0.575,0.24,0.41,69,False,Retail Partner,Insider,New,Northeast,MA,Suburban,New Customer,Suppression,Ignored,False,0,0.0,0.0,0.0,0.0,1.4129535234175588,0.0
RUN-202408-AT-101521,RUN-202408,2024-08,2024-08-01,AT-101521,v1.0,0.027259420693167002,0.21410997195865608,0.033972206988463385,Performance Collection,0.21410997195865608,0.18013776497019268,8.318667824557325,0.99,False,90,187,240.79,11,0.41,0.341,0.429,0.141,0.199,0.192,82,False,Organic,Member,Returning,Midwest,OH,Rural,At-Risk,Performance Collection,Adopted,False,1,92.78,0.4,0.0409,1.58,0.0,0.0
